KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
542237,Pochvalov,220,139,139,"2,15 %","0,00 %","0,00 %","7,91 %","0,00 %","13,66 %","15,82 %","0,71 %","0,71 %","2,87 %","0,71 %","0,00 %","8,63 %","0,00 %","0,71 %","2,15 %","34,53 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,71 %","0,00 %","8,63 %","0,00 %"
598577,P¯erubenice,60,44,44,"15,90 %","0,00 %","2,27 %","13,63 %","0,00 %","18,18 %","9,09 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,36 %","0,00 %","0,00 %","6,81 %","18,18 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,54 %","0,00 %"
542253,P¯ÌËina,159,100,99,"5,05 %","0,00 %","0,00 %","6,06 %","0,00 %","11,11 %","18,18 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","5,05 %","0,00 %","0,00 %","4,04 %","41,41 %","0,00 %","0,00 %","1,01 %","0,00 %","0,00 %","0,00 %","0,00 %","8,08 %","0,00 %"
565261,P¯Ìlepy,156,92,92,"8,69 %","0,00 %","0,00 %","8,69 %","1,08 %","10,86 %","4,34 %","0,00 %","1,08 %","11,95 %","0,00 %","0,00 %","4,34 %","0,00 %","1,08 %","2,17 %","35,86 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,08 %","8,69 %","0,00 %"
542270,Pöovlky,228,152,152,"12,50 %","0,00 %","0,00 %","8,55 %","0,00 %","5,26 %","8,55 %","1,31 %","0,00 %","4,60 %","0,00 %","0,00 %","6,57 %","0,00 %","0,00 %","1,31 %","35,52 %","0,00 %","0,00 %","1,31 %","0,00 %","0,00 %","0,00 %","0,00 %","13,81 %","0,65 %"
542288,PustovÏty,109,72,72,"12,50 %","0,00 %","0,00 %","1,38 %","0,00 %","16,66 %","18,05 %","1,38 %","1,38 %","0,00 %","0,00 %","0,00 %","1,38 %","0,00 %","0,00 %","5,55 %","33,33 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,33 %","0,00 %"
599760,RaËice,131,100,100,"13,00 %","0,00 %","0,00 %","11,00 %","0,00 %","8,00 %","12,00 %","2,00 %","1,00 %","0,00 %","0,00 %","1,00 %","16,00 %","0,00 %","0,00 %","4,00 %","22,00 %","0,00 %","1,00 %","3,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,00 %","0,00 %"
541656,RakovnÌk,12 631,7 493,7 446,"11,26 %","0,13 %","0,00 %","8,21 %","0,16 %","6,13 %","8,82 %","1,11 %","0,61 %","1,78 %","0,09 %","0,13 %","12,32 %","0,04 %","0,04 %","4,75 %","30,76 %","0,05 %","0,09 %","2,29 %","0,05 %","0,75 %","0,09 %","0,12 %","9,87 %","0,24 %"
598526,Roztoky,870,485,483,"7,86 %","0,00 %","0,00 %","8,48 %","0,00 %","8,48 %","12,21 %","1,65 %","0,62 %","1,24 %","0,00 %","0,00 %","12,21 %","0,20 %","0,00 %","6,21 %","29,19 %","0,00 %","0,00 %","1,86 %","0,00 %","0,20 %","0,00 %","0,00 %","9,10 %","0,41 %"
542326,Ruda,585,328,328,"6,40 %","0,60 %","0,00 %","11,28 %","0,00 %","6,40 %","9,45 %","0,91 %","1,21 %","1,52 %","0,00 %","0,00 %","9,14 %","0,00 %","0,00 %","5,48 %","34,75 %","0,00 %","0,00 %","3,04 %","0,60 %","1,21 %","0,00 %","0,00 %","7,92 %","0,00 %"
542334,Rynholec,749,430,428,"8,17 %","0,00 %","0,00 %","12,14 %","0,46 %","5,37 %","12,61 %","0,00 %","1,40 %","1,63 %","0,23 %","0,00 %","10,28 %","0,23 %","0,00 %","5,37 %","30,37 %","0,23 %","0,00 %","1,86 %","0,00 %","2,10 %","0,23 %","0,23 %","6,77 %","0,23 %"
565504,ÿe¯ichy,88,54,54,"9,25 %","0,00 %","0,00 %","11,11 %","0,00 %","5,55 %","9,25 %","1,85 %","0,00 %","3,70 %","0,00 %","0,00 %","3,70 %","0,00 %","0,00 %","1,85 %","25,92 %","0,00 %","0,00 %","1,85 %","0,00 %","0,00 %","0,00 %","0,00 %","24,07 %","1,85 %"
